chinese,english,source,refs_list
丈二和尚,to be clueless or confused about something that one should know well,JSON,['to be clueless or confused about something that one should know well']
成年累月,over a long period of time; for many months and years,JSON,"['over a long period of time', 'for many months and years']"
熊熊烈火,blazing fire,JSON,['blazing fire']
短兵相接,engage in close combat or confrontation,JSON,['engage in close combat or confrontation']
真相毕露,the truth is revealed; the true facts are laid bare,JSON,"['the truth is revealed', 'the true facts are laid bare']"
水清无鱼,lack of talent or ability,JSON,['lack of talent or ability']
春华秋实,Reaping the rewards of hard work; achieving success and prosperity,JSON,"['reaping the rewards of hard work', 'achieving success and prosperity']"
玉石不分,unable to distinguish between good and bad,JSON,['unable to distinguish between good and bad']
五光十色,colorful and dazzling; vibrant and diverse; full of variety,JSON,"['colorful and dazzling', 'vibrant and diverse', 'full of variety']"
革故鼎新,to reform and make radical changes; to discard the old ways and bring in the new,JSON,"['to reform and make radical changes', 'to discard the old ways and bring in the new']"
稍纵即逝,passing by in the blink of an eye; a fleeting moment,JSON,"['passing by in the blink of an eye', 'a fleeting moment']"
怒目横眉,giving someone an angry glare,JSON,['giving someone an angry glare']
沉疴难起,hard to recover from a chronic illness,JSON,['hard to recover from a chronic illness']
意兴盎然,full of enthusiasm and interest,JSON,['full of enthusiasm and interest']
尔虞我诈,mutual deception and trickery; each trying to outwit the other,JSON,"['mutual deception and trickery', 'each trying to outwit the other']"
蜂拥而至,"come in droves, flock in",JSON,"['come in droves, flock in']"
自食其果,reap what one has sown,JSON,['reap what one has sown']
拖泥带水,being long-winded and muddled in speech or actions,JSON,['being long-winded and muddled in speech or actions']
半信半疑,being half-believing and half-doubting,JSON,['being half-believing and half-doubting']
魑魅魍魉,evil spirits and goblins,JSON,['evil spirits and goblins']
喜闻乐见,delighted to see and hear something,JSON,['delighted to see and hear something']
相得益彰,mutual benefit and enhancement,JSON,['mutual benefit and enhancement']
心惊肉跳,heart pounding with fear,JSON,['heart pounding with fear']
大肆挥霍,spending lavishly and recklessly,JSON,['spending lavishly and recklessly']
情投意合,"having similar feelings and thoughts, being in agreement",JSON,"['having similar feelings and thoughts, being in agreement']"
妇人之仁,compassion or benevolence only towards women; showing favoritism towards women,JSON,"['compassion or benevolence only towards women', 'showing favoritism towards women']"
杳无踪迹,completely vanished without a trace,JSON,['completely vanished without a trace']
兼容并包,"to be inclusive and accommodating, to embrace different ideas and opinions",JSON,"['to be inclusive and accommodating, to embrace different ideas and opinions']"
碌碌无能,mediocre and of no ability; lack of talent or capability,JSON,"['mediocre and of no ability', 'lack of talent or capability']"
自成一家,standing alone and unique; being independent,JSON,"['standing alone and unique', 'being independent']"
暗藏杀机,hidden danger or threat,JSON,['hidden danger or threat']
亲如骨肉,"as close as kin, like brothers and sisters",JSON,"['as close as kin, like brothers and sisters']"
再衰三竭,to decline further and exhaust completely,JSON,['to decline further and exhaust completely']
敢作敢为,to dare to do and take action without fear or hesitation,JSON,['to dare to do and take action without fear or hesitation']
开花结果,"to bear fruit, to achieve success",JSON,"['to bear fruit, to achieve success']"
项庄舞剑，意在沛公,having a hidden motive or intention behind one's actions,JSON,"[""having a hidden motive or intention behind one's actions""]"
绿肥红瘦,lush and green while thin and emaciated,JSON,['lush and green while thin and emaciated']
无关紧要,"unimportant, irrelevant",JSON,"['unimportant, irrelevant']"
能者为师,a capable person should be a teacher,JSON,['a capable person should be a teacher']
乳臭未干,"immature, still in a state of innocence or inexperience",JSON,"['immature, still in a state of innocence or inexperience']"
千里之堤，溃于蚁穴,a seemingly small problem or weakness can lead to disastrous consequences,JSON,['a seemingly small problem or weakness can lead to disastrous consequences']
五子登科,all five sons passing the imperial examination,JSON,['all five sons passing the imperial examination']
方寸不乱,calm and composed even in the face of chaos,JSON,['calm and composed even in the face of chaos']
狗嘴里吐不出象牙,Lies and deception; not to be trusted,JSON,"['lies and deception', 'not to be trusted']"
语重心长,speak with great sincerity and concern,JSON,['speak with great sincerity and concern']
自以为得计,"thinking that one has succeeded in their plan, but in reality, they have miscalculated and failed",JSON,"['thinking that one has succeeded in their plan, but in reality, they have miscalculated and failed']"
善自为谋,to plan and take care of oneself well,JSON,['to plan and take care of oneself well']
泣不成声,unable to speak due to extreme sadness or sorrow,JSON,['unable to speak due to extreme sadness or sorrow']
一厢情愿,being wishful thinking and not considering the reality or other perspectives,JSON,['being wishful thinking and not considering the reality or other perspectives']
奇形怪状,strange or odd in shape or appearance,JSON,['strange or odd in shape or appearance']
众擎易举,easy to achieve with united strength,JSON,['easy to achieve with united strength']
以德服人,to win people over with virtue,JSON,['to win people over with virtue']
极乐世界,a utopia or paradise-like world where there is extreme happiness and bliss,JSON,['a utopia or paradise-like world where there is extreme happiness and bliss']
起承转合,"beginning, development, turning point, and conclusion",JSON,"['beginning, development, turning point, and conclusion']"
自寻烦恼,"to seek trouble for oneself, to unnecessarily create problems for oneself",JSON,"['to seek trouble for oneself, to unnecessarily create problems for oneself']"
